id,title,year,genre,certificate,time,ImdbRating,metascore,votes,simple_desc
tt9376612,Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",PG-13,132,7.4,71,378126,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization."
tt0120912,Men in Black II,2002,"Action, Adventure, Comedy",PG-13,88,6.1,49,376665,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.
tt3480822,Black Widow,2021,"Action, Adventure, Sci-Fi",PG-13,134,6.7,67,375605,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
tt6264654,Free Guy,2021,"Action, Adventure, Comedy",PG-13,115,7.1,62,367020,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game."
tt0286106,Signs,2002,"Drama, Mystery, Sci-Fi",PG-13,106,6.8,59,364535,"A widowed former reverend living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come."
tt1409024,Men in Black 3,2012,"Action, Adventure, Comedy",PG-13,106,6.8,58,364356,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.
tt0438488,Terminator Salvation,2009,"Action, Adventure, Sci-Fi",PG-13,115,6.5,49,363277,"In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?"
tt1371111,Cloud Atlas,2012,"Drama, Mystery, Sci-Fi",R,172,7.4,55,363224,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
tt1706620,Snowpiercer,2013,"Action, Sci-Fi, Thriller",R,126,7.1,84,361704,"In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges."
tt1182345,Moon,2009,"Drama, Mystery, Sci-Fi",R,97,7.8,67,360001,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
tt1490017,The Lego Movie,2014,"Animation, Action, Adventure",PG,100,7.7,83,356115,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
tt1650062,Super 8,2011,"Action, Mystery, Sci-Fi",PG-13,112,7.0,72,355235,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
tt2194499,About Time,2013,"Comedy, Drama, Fantasy",R,123,7.8,55,350599,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
tt6334354,The Suicide Squad,2021,"Action, Adventure, Comedy",R,132,7.2,72,348574,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
tt3778644,Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",PG-13,135,6.9,62,346744,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes."
